price,fixed acidity,volatile acidity,citric acid,residual sugar,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,quality
12.032196130633814,7.4,0.7,0.0,1.9,11.0,34.0,3.51,0.56,9.4,0
13.44497718382362,7.8,0.88,0.0,2.6,25.0,67.0,3.2,0.68,9.8,0
12.520700958263413,7.8,0.76,0.04,2.3,15.0,54.0,3.26,0.65,9.8,0
15.726189843416972,11.2,0.28,0.56,1.9,17.0,60.0,3.16,0.58,9.8,1
11.829749221736227,7.4,0.7,0.0,1.9,11.0,34.0,3.51,0.56,9.4,0
13.679973345059844,7.4,0.66,0.0,1.8,13.0,40.0,3.51,0.56,9.4,0
13.679973345059844,7.9,0.6,0.06,1.6,15.0,59.0,3.3,0.46,9.4,0
13.679973345059844,7.3,0.65,0.0,1.2,15.0,21.0,3.39,0.47,10.0,1
13.679973345059844,7.8,0.58,0.02,2.0,9.0,18.0,3.36,0.57,9.5,1
13.679973345059844,7.5,0.5,0.36,6.1,17.0,102.0,3.35,0.8,10.5,0
13.679973345059844,6.7,0.58,0.08,1.8,15.0,65.0,3.28,0.54,9.2,0
13.679973345059844,7.5,0.5,0.36,6.1,17.0,102.0,3.35,0.8,10.5,0
13.679973345059844,5.6,0.615,0.0,1.6,16.0,59.0,3.58,0.52,9.9,0
13.679973345059844,7.8,0.61,0.29,1.6,9.0,29.0,3.26,1.56,9.1,0
13.679973345059844,8.9,0.62,0.18,3.8,52.0,145.0,3.16,0.88,9.2,0
13.679973345059844,8.9,0.62,0.19,3.9,51.0,148.0,3.17,0.93,9.2,0
13.679973345059844,8.5,0.28,0.56,1.8,35.0,103.0,3.3,0.75,10.5,1
13.679973345059844,8.1,0.56,0.28,1.7,16.0,56.0,3.11,1.28,9.3,0
13.679973345059844,7.4,0.59,0.08,4.4,6.0,29.0,3.38,0.5,9.0,0
13.679973345059844,7.9,0.32,0.51,1.8,17.0,56.0,3.04,1.08,9.2,1
13.679973345059844,8.9,0.22,0.48,1.8,29.0,60.0,3.39,0.53,9.4,1
13.679973345059844,7.6,0.39,0.31,2.3,23.0,71.0,3.52,0.65,9.7,0
13.679973345059844,7.9,0.43,0.21,1.6,10.0,37.0,3.17,0.91,9.5,0
